0,1,2,3
(304,383,115,-2)
(306,382,115,-2)
(307,381,115,-2)
(309,380,115,-2)
(311,379,115,-2)
(313,379,115,-2)
(315,378,115,-2)
(317,377,115,-2)
(318,376,115,-2)
(320,375,115,-2)
(322,374,115,-2)
(324,373,115,-2)
(326,373,115,-2)
(328,372,115,-2)
(329,371,114,-2)
(331,370,114,-2)
(333,369,114,-2)
(335,368,114,-2)
(337,368,114,-2)
(339,367,114,-2)
(340,366,114,-2)
(342,365,114,-2)
(344,364,114,-2)
(346,364,114,-2)
(348,363,113,-2)
(350,362,113,-2)
(352,361,113,-2)
(353,360,113,-2)
(355,360,113,-2)
(357,359,113,-2)
(359,358,113,-2)
(360,358,113,-2)
(362,357,111,-2)
(364,356,111,-2)
(366,356,111,-2)
(368,355,110,-2)
(369,354,110,-2)
(371,353,110,-2)
(373,353,110,-2)
(375,352,110,-2)
(377,351,110,-2)
(379,351,110,-2)
(381,350,110,-2)
(383,349,110,-2)
(385,349,110,-2)
(386,348,110,-2)
(388,347,110,-2)
(390,346,110,-2)
(392,346,110,-2)
(394,345,110,-2)
(396,344,110,-2)
(398,344,110,-2)
(400,343,110,-2)
(402,342,110,-2)
(404,342,110,-2)
(406,341,109,-2)
(407,340,109,-2)
(409,340,109,-2)
(411,339,109,-2)
(413,338,109,-2)
(415,338,109,-2)
(417,337,109,-2)
(419,336,109,-2)
(421,336,109,-2)
(423,335,108,-2)
(425,334,108,-2)
(427,334,108,-2)
(428,333,108,-2)
(430,333,108,-2)
(432,332,108,-2)
(434,331,107,-2)
(436,331,107,-2)
(438,330,107,-2)
(440,330,107,-2)
(442,329,107,-2)
(443,329,107,-2)
(445,328,106,-2)
(447,328,106,-2)
(449,327,107,-2)
(451,326,107,-2)
(453,326,107,-2)
(455,325,107,-2)
(456,325,107,-2)
(458,324,107,-2)
(460,323,107,-2)
(462,323,107,-2)
(464,322,107,-2)
(466,322,107,-2)
(468,321,107,-2)
(470,321,107,-2)
(472,320,107,-2)
(474,319,107,-2)
(476,319,107,-2)
(478,318,107,-2)
(479,318,107,-2)
(481,317,107,-2)
(483,316,107,-2)
(485,316,107,-2)
(487,315,107,-2)
(489,315,107,-2)
(491,314,107,-2)
(493,313,107,-2)
(495,313,107,-2)
(497,312,107,-2)
(499,312,107,-2)
(501,311,106,-2)
(503,311,106,-2)
(504,310,106,-2)
(506,309,106,-2)
(508,309,106,-2)
(510,308,106,-2)
(512,308,106,-2)
(514,307,105,-2)
(516,307,105,-2)
(518,306,105,-2)
(519,306,105,-2)
(521,306,105,-2)
(523,305,102,-2)
(525,305,102,-2)
(527,304,102,-2)
(529,304,102,-2)
(531,303,102,-2)
(533,303,102,-2)
(535,303,102,-2)
(537,302,102,-2)
(539,302,102,-2)
(541,301,102,-2)
(543,301,102,-2)
(545,301,102,-2)
(547,300,102,-2)
(548,300,102,-2)
(550,299,102,-2)
(552,299,102,-2)
(554,298,101,-2)
(556,298,101,-2)
(558,298,101,-2)
(560,297,101,-2)
(562,297,101,-2)
(564,297,101,-2)
(566,296,101,-2)
(568,296,101,-2)
(570,295,100,-2)
(572,295,100,-2)
(574,295,100,-2)
(576,294,100,-2)
(578,294,100,-2)
(580,294,100,-2)
(582,293,99,-2)
(584,293,99,-2)
(586,293,99,-2)
(588,292,99,-2)
(590,292,99,-2)
(592,292,99,-2)
(594,292,99,-2)
(596,291,97,-2)
(598,291,97,-2)
(599,291,97,-2)
(601,291,97,-2)
(603,290,97,-2)
(605,290,97,-2)
(607,290,97,-2)
(609,290,97,-2)
(611,289,97,-2)
(613,289,97,-2)
(615,289,97,-2)
(617,289,97,-2)
(619,288,97,-2)
(621,288,97,-2)
(623,288,97,-2)
(625,288,97,-2)
(627,287,97,-2)
(629,287,97,-2)
(631,287,97,-2)
(633,287,97,-2)
(635,287,97,-2)
(637,286,97,-2)
(639,286,97,-2)
(641,286,97,-2)
(643,286,97,-2)
(645,285,97,-2)
(647,285,97,-2)
(649,285,97,-2)
(651,285,97,-2)
(653,284,97,-2)
(655,284,97,-2)
(657,284,97,-2)
(659,284,97,-2)
(661,283,97,-2)
(663,283,97,-2)
(665,283,97,-2)
(667,283,97,-2)
(669,282,97,-2)
(671,282,97,-2)
(673,282,97,-2)
(675,282,97,-2)
(677,281,97,-2)
(679,281,97,-2)
(681,281,97,-2)
(682,281,97,-2)
(684,281,97,-2)
(686,280,97,-2)
(688,280,97,-2)
(690,280,97,-2)
(692,280,97,-2)
(694,279,97,-2)
(696,279,97,-2)
(698,279,97,-2)
(700,279,97,-2)
(702,278,97,-2)
(704,278,97,-2)
(706,278,97,-2)
(708,278,97,-2)
(710,277,97,-2)
(712,277,97,-2)
(714,277,97,-2)
(716,277,97,-2)
(718,276,97,-2)
(720,276,97,-2)
(722,276,97,-2)
(724,276,97,-2)
(726,275,97,-2)
(728,275,97,-2)
(730,275,97,-2)
(732,275,97,-2)
(734,274,96,-2)
(736,274,96,-2)
(738,274,96,-2)
(740,274,96,-2)
(742,274,96,-2)
(744,273,95,-2)
(746,273,95,-2)
(748,273,95,-2)
(750,273,95,-2)
(752,273,95,-2)
(754,273,95,-2)
(756,272,94,-2)
(758,272,94,-2)
(760,272,94,-2)
(762,272,94,-2)
(764,272,94,-2)
(765,272,94,-2)
(767,272,94,-2)
(769,272,94,-2)
(771,272,94,-2)
(773,272,94,-2)
(775,272,94,-2)
(777,271,92,-2)
(779,271,92,-2)
(781,271,92,-2)
(783,271,92,-2)
(785,271,92,-2)
(787,271,92,-2)
(789,271,92,-2)
(791,271,92,-2)
(793,271,92,-2)
(795,271,92,-2)
(797,271,92,-2)
(799,271,92,-2)
(801,271,92,-2)
(803,271,92,-2)
(805,271,92,-2)
(807,271,92,-2)
(809,270,91,-2)
(811,270,91,-2)
(813,270,91,-2)
(815,270,91,-2)
(817,270,91,-2)
(819,270,91,-2)
(821,270,91,-2)
(823,270,91,-2)
(825,270,91,-2)
(827,270,91,-2)
(829,270,91,-2)
(831,270,91,-2)
(833,270,91,-2)
(835,270,91,-2)
(837,270,91,-2)
(839,270,91,-2)
(841,270,91,-2)
(843,270,91,-2)
(844,270,91,-2)
(846,270,91,-2)
(848,270,91,-2)
(850,270,91,-2)
(852,270,91,-2)
(854,270,91,-2)
(856,270,91,-2)
(858,270,91,-2)
(860,270,91,-2)
(862,270,91,-2)
(864,270,91,-2)
(866,270,91,-2)
(868,270,91,-2)
(870,270,91,-2)
(872,271,88,-2)
(874,271,88,-2)
(876,271,88,-2)
(878,271,88,-2)
(880,271,88,-2)
(882,271,88,-2)
(884,271,88,-2)
(886,271,88,-2)
(888,271,88,-2)
(890,271,88,-2)
(892,271,88,-2)
(894,271,88,-2)
(896,271,88,-2)
(898,271,88,-2)
(900,271,88,-2)
(902,271,88,-2)
(904,271,88,-2)
(906,272,88,-2)
(908,272,88,-2)
(910,272,88,-2)
(912,272,88,-2)
(914,272,88,-2)
(916,272,88,-2)
(918,272,88,-2)
(920,272,88,-2)
(922,272,88,-2)
(924,272,88,-2)
(926,272,88,-2)
(928,272,88,-2)
(930,272,88,-2)
(932,272,88,-2)
(933,272,88,-2)
(935,272,88,-2)
(937,272,88,-2)
(939,272,88,-2)
(941,272,88,-2)
(943,272,88,-2)
(945,272,88,-2)
(947,272,88,-2)
(949,272,88,-2)
(951,272,88,-2)
(953,272,88,-2)
(955,272,88,-2)
(957,273,88,-2)
(959,273,88,-2)
(961,273,88,-2)
(963,273,88,-2)
(965,273,88,-2)
(967,273,88,-2)
(969,273,88,-2)
(971,273,88,-2)
(973,273,88,-2)
(975,273,88,-2)
(977,273,88,-2)
(979,273,88,-2)
(981,274,87,-2)
(983,274,87,-2)
(985,274,87,-2)
(987,274,87,-2)
(989,274,87,-2)
(991,274,87,-2)
(993,274,87,-2)
(995,274,87,-2)
(997,274,87,-2)
(999,274,87,-2)
(1001,275,87,-2)
(1003,275,87,-2)
(1005,275,87,-2)
(1007,275,87,-2)
(1009,275,87,-2)
(1011,275,87,-2)
(1012,275,87,-2)
(1014,275,87,-2)
(1016,275,87,-2)
(1018,275,87,-2)
(1020,275,87,-2)
(1022,275,87,-2)
(1024,276,87,-2)
(1026,276,87,-2)
(1028,276,87,-2)
(1030,276,87,-2)
(1032,276,87,-2)
(1034,276,87,-2)
(1036,276,87,-2)
(1038,276,87,-2)
(1040,277,86,-2)
(1042,277,86,-2)
(1044,277,86,-2)
(1046,277,86,-2)
(1048,277,86,-2)
(1050,277,86,-2)
(1052,277,86,-2)
(1054,277,86,-2)
(1056,278,86,-2)
(1058,278,86,-2)
(1060,278,86,-2)
(1062,278,86,-2)
(1064,278,86,-2)
(1066,278,86,-2)
(1068,278,86,-2)
(1070,278,86,-2)
(1072,279,86,-2)
(1074,279,86,-2)
(1076,279,86,-2)
(1078,279,86,-2)
(1080,279,86,-2)
(1082,279,86,-2)
(1084,279,86,-2)
(1086,279,86,-2)
(1088,280,87,-2)
(1090,280,87,-2)
(1092,280,87,-2)
(1094,280,87,-2)
(1096,280,87,-2)
(1098,280,87,-2)
(1099,280,87,-2)
(1101,280,87,-2)
(1103,280,87,-2)
(1105,281,85,-2)
(1107,281,85,-2)
(1109,281,85,-2)
(1111,281,85,-2)
(1113,281,85,-2)
(1115,281,85,-2)
(1117,282,85,-2)
(1119,282,85,-2)
(1121,282,85,-2)
(1123,282,85,-2)
(1125,282,85,-2)
(1127,283,85,-2)
(1129,283,85,-2)
(1131,283,85,-2)
(1133,283,85,-2)
(1135,283,85,-2)
(1137,284,84,-2)
(1139,284,84,-2)
(1141,284,84,-2)
(1143,284,84,-2)
(1145,284,84,-2)
(1147,285,84,-2)
(1149,285,84,-2)
(1151,285,84,-2)
(1153,285,84,-2)
(1155,285,84,-2)
(1157,286,84,-2)
(1159,286,84,-2)
(1161,286,84,-2)
(1163,286,84,-2)
(1165,286,84,-2)
(1167,287,84,-2)
(1169,287,84,-2)
(1171,287,84,-2)
(1173,287,84,-2)
(1175,288,83,-2)
(1177,288,83,-2)
(1179,288,83,-2)
(1181,288,83,-2)
(1183,289,83,-2)
(1185,289,83,-2)
(1187,289,83,-2)
(1189,289,83,-2)
(1193,290,83,-2)
(1197,290,83,-2)
(1201,291,83,-2)
(1205,291,83,-2)
(1209,292,83,-2)
(1213,292,83,-2)
(1217,293,82,-2)
(1221,293,82,-2)
(1225,294,82,-2)
(1229,295,82,-2)
(1233,295,82,-2)
(1237,296,81,-2)
(1241,296,81,-2)
(1245,297,81,-2)
(1249,298,80,-2)
(1253,298,80,-2)
(1257,299,80,-2)
(1261,300,79,-2)
(1265,301,79,-2)
(1267,301,79,-2)
(1271,302,75,-2)
(1275,303,74,-2)
(1279,304,74,-2)
(1282,305,73,-2)
(1286,306,73,-2)
(1290,308,73,-2)
(1294,309,72,-2)
(1298,310,72,-2)
(1302,311,72,-2)
(1305,313,72,-2)
(1309,314,72,-2)
(1313,315,72,-2)
(1317,316,71,-2)
(1321,318,71,-2)
(1324,319,71,-2)
(1328,320,71,-2)
(1332,322,71,-2)
(1336,323,71,-2)
(1340,324,71,-2)
(1343,325,71,-2)
(1347,327,71,-2)
(1351,328,71,-2)
(1351,328,71,-2)
(1355,329,71,-2)
(1359,330,71,-2)
(1363,331,71,-2)
(1367,332,71,-2)
(1371,333,71,-2)
(1375,334,71,-2)
(1379,335,71,-2)
(1383,336,71,-2)
(1387,337,71,-2)
(1391,338,71,-2)
(1395,339,71,-2)
(1399,340,71,-2)
(1403,341,71,-2)
(1407,342,71,-2)
(1411,343,71,-2)
(1415,344,71,-2)
(1419,345,71,-2)
(1423,346,71,-2)
(1427,347,71,-2)
(1431,348,71,-2)
(1435,349,71,-2)
(1439,350,71,-2)
(1443,351,71,-2)
(1447,352,71,-2)
(1451,353,71,-2)
(1455,354,71,-2)
(1459,355,71,-2)
(1463,356,71,-2)
(1467,357,71,-2)
(1471,358,71,-2)
(1475,359,71,-2)
(1479,360,71,-2)
(1483,361,71,-2)
(1487,362,71,-2)
(1491,363,71,-2)
(1495,364,71,-2)
(1499,365,71,-2)
(1503,366,71,-2)
(1507,367,71,-2)
(1511,368,71,-2)
(1515,369,71,-2)
(1519,370,71,-2)
(1523,371,71,-2)
(1527,372,71,-2)
(1531,373,71,-2)
(1535,374,71,-2)
(1539,375,71,-2)
(1543,376,71,-2)
(1547,377,71,-2)
(1551,378,71,-2)
(1555,379,71,-2)
